Company,Scheme,Scheme Id,Nav Date,Nav,Return Monthly,Scheme Type,Scheme Title
ValueQuest,Platinum Scheme,253,31/03/2024,630.14,2.67,S,
2Point2 Capital,Long Term Value Fund,54,31/03/2024,418.59,-3.98,S,
Phillip Capital,Emerging India Portfolio,203,30/11/2021,18.5985,-2.67,S,
Morningstar Investment Adviser,Active Aggressive Portfolio,238,30/11/2021,144.59,-2.96,S,
Morningstar Investment Adviser,Active Aggressive Plus Portfolio,239,30/11/2021,153.18,-2.36,S,
Marcellus Investment Managers,Consistent Compounders,59,31/03/2024,21.476,1.88,S,
Sameeksha Capital,Equity Fund,98,31/03/2024,54.191,-3,S,
AlfAccurate Advisors,IOP PMS,24,31/03/2024,101.44,0.5,S,
Solidarity Advisors,Prudence,165,31/03/2022,31.82,5.72,S,
ASK,Emerging Opportunities Portfolio (EOP),256,31/03/2024,21.5,1.27,S,
Valentis Advisors,Rising Star Opportunity Fund,229,31/03/2024,380.34,-7.29,S,
Valentis Advisors,Multi-Cap,163,31/03/2024,290.72,-4.57,S,
Green Portfolio,Super 30,297,31/03/2024,338.93,-9.8,S,
White Oak Capital Management,Top 200 PMS,306,31/03/2023,114.4566,-0.08,S,
Abakkus Asset Manager ,All Cap Approach,231,31/03/2024,26.5237,-1.55,S,
Green Portfolio,Special,88,31/03/2024,365.07,-7.79,S,
Emkay Investment Managers,Capital Builder,194,31/03/2023,62.8405,0.61,S,
Emkay Investment Managers,Lead PMS,73,31/03/2023,12.7804,-0.38,S,
Emkay Investment Managers,12,150,31/03/2023,14.4593,0.27,S,
Emkay Investment Managers,Gems,298,31/03/2023,16.6428,-2.06,S,
Emkay Investment Managers,Pearls,258,31/03/2023,49.3942,-1.99,S,
First Global,The India Super 50,144,31/03/2024,258.8,-3.29,S,
First Global,Indian Multi-Asset Allocation PMS,143,31/03/2024,197.605,-3.03,S,
Ambit Investment Advisors,Emerging Giants,32,31/03/2024,231.582,-7.46,S,
Aequitas Investment ,India Opportunities Product,260,31/03/2024,255.984,-0.86,S,
Motilal Oswal AMC,Mid To Mega,178,31/03/2024,28.079,0.08,S,
Upside AI,Flexicap,202,30/06/2022,126.8,-9.66,S,
Upside AI,Top 250,207,31/12/2022,156.87,-3.77,S,
Carnelian Capital,Shift,227,31/03/2024,3562.974,-1.48,S,
Carnelian Capital,Compounder Strategy,168,31/03/2024,2448.8748,-2.64,S,
ICICI Prudential PMS,Contra Strategy,74,31/03/2024,30.267,2.59,S,
ICICI Prudential PMS,PIPE Strategy,205,31/03/2024,34.6323,-3.07,S,
Purnartha,Focused Equity,62,30/06/2022,99.51,-7.35,S,
Purnartha,Long Term Equity With Concentrated Portfolio,302,30/06/2022,104.73,-8.34,S,
UNIFI,Blended Fund-Rangoli,247,31/03/2024,392.387,-2.98,S,
Sundaram Alternates,Voyager,19,31/03/2024,90.414,2.96,S,
White Oak Capital Management,India Pioneers Equity,109,31/03/2023,169.666,-0.53,S,
Negen Capital,Special Situations Fund,186,31/03/2024,288.0586,-9.04,S,
Electrum ,Laureate Portfolio  ,315,31/03/2024,29.5967,-4.65,S,
Avestha Fund Management,Growth,164,31/03/2023,206.23,0.69,S,
Sykes & Ray Equities (I) Ltd ,SRE Shield,314,30/09/2022,147.26,-3.59,S,
Right Horizons,Flexi Cap,130,31/03/2023,323.11841,0.24,S,
Estee Advisors,Long Alpha,218,31/03/2024,35.9366,-1.28,S,
Ambit Investment Advisors,TenX Portfolio,308,31/03/2024,126.117,-2.43,S,
Green Lantern Capital LLP,Growth Fund,277,31/03/2024,40.9452,1.47,S,
Equirus,Core Equity,337,31/03/2024,138.47,-0.87,S,
SBI,Aeon Alpha PMS,335,31/03/2024,14.002,-2.07,S,
Renaissance,Alpha Portfolio ,340,30/06/2023,18.8722,4.7,S,
Renaissance,India Next Portfolio ,341,31/03/2024,24.9544,-0.45,S,
Renaissance,Midcap Portfolio,49,31/03/2024,23.003,-3.62,S,
Renaissance,Opportunities Portfolio,48,31/03/2024,22.713,0.11,S,
AlfAccurate Advisors,Budding Beasts,304,31/03/2024,23.059,-1.7,S,
Vallum Capital Advisors ,India Discovery Strategy,336,31/03/2024,250.55,-2.27,S,
Abakkus Asset Manager ,Emerging Opportunities Approach ,230,31/03/2024,30.2864,-2.42,S,
Turtle Wealth Management Pvt. Ltd.-,212ʡ Wealth Mantra,141,31/03/2024,215.7055,-0.63,S,
Buoyant Capital,Opportunities Multi-cap,63,31/03/2024,48.06,-1.84,S,
Carnelian Capital,YnG Strategy,326,31/03/2024,2235.4102,0.79,S,
Turtle Wealth Management Pvt. Ltd.-,212ʡ Growth Mantra,325,31/03/2024,170.2013,0.08,S,
Samvitti Capital ,Long Term Growth,351,31/03/2024,38.9028,4.5,S,
Samvitti Capital ,Active Alpha Multicap,350,31/03/2024,27.215,-2.99,S,
Samvitti Capital ,Aggressive Growth,349,31/03/2024,33.4,-2.27,S,
Invasset LLP,Growth Fund,255,31/03/2024,41.8777,-0.19,S,
360 ONE,Multicap,46,31/03/2024,82.89,0.6,S,
360 ONE,Phoenix Portfolio,296,31/03/2024,20.15,-0.75,S,
Roha Asset Managers,Emerging Champions Portfolio,214,31/03/2024,35.985,-4.62,S,
BugleRock Capital ,Core Value Concentrated,116,31/03/2024,21.69,3.61,S,
Ckredence Wealth Management Pvt Ltd,All Weather,338,31/03/2024,161.4261,-2.26,S,
Ckredence Wealth Management Pvt Ltd,Diversified,339,31/03/2024,176.9824,-6.11,S,
Shree Rama Managers LLP,Shree Lakshmi Plan,327,31/03/2024,15.3849,-5.8,S,
Shree Rama Managers LLP,Shree Vriddhi Plan,328,31/03/2024,16.2618,-5.15,S,
Incred PMS,Multicap Portfolio,282,31/03/2024,15.46,-5.66,S,
Incred PMS,Healthcare Portfolio,281,31/03/2024,15.02,-3.62,S,
Green Lantern Capital LLP,Alpha Fund,276,31/03/2024,39.9568,-0.75,S,
Green Portfolio,Impact ESG,322,31/03/2024,190.89,-4.09,S,
Narnolia,Multicap Strategy,61,31/12/2023,172.083,5.76,S,
Invesco,India R.I.S.E,3,31/12/2023,28.299,0.07,S,
Invesco,India DAWN,2,31/12/2023,19.391,0.08,S,
Invesco,India Caterpillar,4,31/12/2023,74.722,0.05,S,
Bonanza,Growth,188,31/03/2024,1025.0125,-1,S,
Bonanza,Value,189,31/03/2024,805.0748,-2.78,S,
Ambit Global Private Client,Alpha Growth,352,31/03/2024,248.67,0.64,S,
Asit C Mehta,Ace Multicap,91,31/03/2024,3251.974,-2.74,S,
Asit C Mehta,Ace Regular Income,92,31/03/2024,2620.896,-2,S,
Asit C Mehta,Ace Midcap,102,31/03/2024,3269.193,-1.66,S,
Asit C Mehta,Ace 15,103,31/03/2024,2323.115,-0.42,S,
Ambit Global Private Client,Caliber,367,28/03/2024,170.9,2.55,S,
Bonanza,Aegis,368,31/03/2024,170.2204,-1.91,S,
Bonanza,Edge,369,31/03/2024,529.5979,-5,S,
BugleRock Capital ,Core Value Regular,89,31/03/2024,23.65,2.06,S,
Marcellus Investment Managers,Rising Giants,303,31/03/2024,9.127,2.95,S,
Marcellus Investment Managers,Global Compounders ,373,31/03/2024,151.75389,1.64,S,
Motilal Oswal AMC,Multifactor Equity PMS,318,26/03/2024,19.165,0.77,S,
Motilal Oswal AMC,Ethical PMS,319,31/03/2024,16.5367,-0.29,S,
Motilal Oswal AMC,Founders,372,31/03/2024,16.2455,2.01,S,
ValueQuest,Poise Scheme,371,31/03/2024,165.69,-1.21,S,
White Whale Partners LLP,North Star Portfolio,320,31/03/2024,16.387,1.33,S,
Maximal Capital,Pathfinder Value Fund,360,31/03/2024,18.69,-5.61,S,
