scheme ID,Company ID,Category ID,PMS Structure ID,Scheme Name,Company Name,Category Name,Structure name,Strategy Benchmark
350,152,3,1,Active Alpha Multicap,Samvitti Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
349,152,3,1,Aggressive Growth,Samvitti Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
351,152,1,1,Long Term Growth,Samvitti Capital ,Large Cap Oriented,Equity,BSE 500 TRI
125,51,1,1,Indian Olympians,Sanctum Wealth,Large Cap Oriented,Equity,BSE 500 TRI
126,51,3,1,Indian Titans,Sanctum Wealth,Multi Cap Oriented,Equity,BSE 500 TRI
335,4,3,1,Aeon Alpha PMS,SBI,Multi Cap Oriented,Equity,Nifty 50 TRI
13,4,3,1,ESG Portfolio,SBI,Multi Cap Oriented,Equity,Nifty 50 TRI
327,143,3,1,Shree Lakshmi Plan,Shree Rama Managers LLP,Multi Cap Oriented,Equity,BSE 500 TRI
328,143,3,1,Shree Vriddhi Plan,Shree Rama Managers LLP,Multi Cap Oriented,Equity,BSE 500 TRI
329,143,3,3,Shree Wealth Builder Plan,Shree Rama Managers LLP,Multi Cap Oriented,Multi-Asset,NSE Multi Asset Index 2
160,77,3,1,India Equity Portfolio,Silverarch,Multi Cap Oriented,Equity,BSE 500 TRI
114,53,3,1,Growth Portfolio,SMC Global,Multi Cap Oriented,Equity,BSE 500 TRI
377,159,2,1,Multicap Fund,Sowilo Investment Managers LLP,Mid & Small Cap Oriented,Equity,BSE 500 TRI
376,159,2,1,Target Return Aggressive Fund,Sowilo Investment Managers LLP,Mid & Small Cap Oriented,Equity,BSE 500 TRI
124,62,3,1,Core Fund,Stallion Asset,Multi Cap Oriented,Equity,BSE 500 TRI
184,7,4,1,Rising Stars,Sundaram Alternates,Small Cap Oriented,Equity,BSE 500 TRI
18,7,2,1,S.E.L.F,Sundaram Alternates,Mid & Small Cap Oriented,Equity,BSE 500 TRI
20,7,3,1,SISOP,Sundaram Alternates,Multi Cap Oriented,Equity,BSE 500 TRI
19,7,3,1,Voyager,Sundaram Alternates,Multi Cap Oriented,Equity,BSE 500 TRI
314,137,1,1,SRE Shield,Sykes & Ray Equities (I) Ltd ,Large Cap Oriented,Equity,BSE 500 TRI
310,39,3,1, Enterprising India Investment Approach ,TATA Capital,Multi Cap Oriented,Equity,BSE 500 TRI
82,39,3,1,ACT,TATA Capital,Multi Cap Oriented,Equity,BSE 500 TRI
85,39,2,1,Emerging Opportunities Strategy,TATA Capital,Mid & Small Cap Oriented,Equity,BSE 500 TRI
389,168,3,1,Equity Factor Quant,True Beacon ,Multi Cap Oriented,Equity,BSE 500 TRI
381,164,1,1,Large Cap,Tulsian PMS ,Large Cap Oriented,Equity,Nifty 50 TRI
325,69,2,1, Growth Mantra,Turtle Wealth Management Pvt. Ltd.-,Mid & Small Cap Oriented,Equity,BSE 500 TRI
141,69,3,1, Wealth Mantra,Turtle Wealth Management Pvt. Ltd.-,Multi Cap Oriented,Equity,BSE 500 TRI
245,14,2,1,BCAD,UNIFI,Mid & Small Cap Oriented,Equity,BSE 500 TRI
311,14,2,1,BCAD2: Breakout 20,UNIFI,Mid & Small Cap Oriented,Equity,BSE 500 TRI
247,14,3,1,Blended Fund-Rangoli,UNIFI,Multi Cap Oriented,Equity,BSE 500 TRI
166,81,3,1,Growing India Strategy,Valcreate Investment Managers,Multi Cap Oriented,Equity,BSE 500 TRI
347,81,3,1,IME Concentrated Microtrends,Valcreate Investment Managers,Multi Cap Oriented,Equity,BSE 500 TRI
348,81,3,1,IME Digital Disruption,Valcreate Investment Managers,Multi Cap Oriented,Equity,BSE 500 TRI
167,81,2,1,Life Sciences and Specialty Opportunities Strategy,Valcreate Investment Managers,Mid & Small Cap Oriented,Equity,BSE 500 TRI
163,78,3,1,Multi-Cap,Valentis Advisors,Multi Cap Oriented,Equity,BSE 500 TRI
229,78,4,1,Rising Star Opportunity Fund,Valentis Advisors,Small Cap Oriented,Equity,BSE 500 TRI
336,147,2,1,India Discovery Strategy,Vallum Capital Advisors ,Mid & Small Cap Oriented,Equity,BSE 500 TRI
380,162,3,1,Valtrust Momentum,Valtrust Partners LLP,Multi Cap Oriented,Equity,BSE 500 TRI
252,109,3,1,Growth Scheme,ValueQuest,Multi Cap Oriented,Equity,BSE 500 TRI
253,109,3,1,Platinum Scheme,ValueQuest,Multi Cap Oriented,Equity,BSE 500 TRI
371,109,3,1,Poise Scheme,ValueQuest,Multi Cap Oriented,Equity,BSE 500 TRI
305,55,3,1,India Digital Leaders Strategy,White Oak Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
109,55,3,1,India Pioneers Equity,White Oak Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
306,55,3,1,Top 200 PMS,White Oak Capital Management,Multi Cap Oriented,Equity,BSE 500 TRI
320,140,3,1,North Star Portfolio,White Whale Partners LLP,Multi Cap Oriented,Equity,Nifty 50 TRI
357,156,3,1,Wright Alpha Fund,Wryght Research & Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
358,156,3,1,Wright Factor Fund,Wryght Research & Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
359,156,3,1,Wright Factor Fund - Hedged,Wryght Research & Capital ,Multi Cap Oriented,Equity,BSE 500 TRI
