Scheme name,Company Name,Scheme Id,Company Id,Holding,Pee Net Assets,StockID
Select Sector Portfolio,Aditya Birla Capital,25,10,EID PARRY INDIA LTD,1.91,
Select Sector Portfolio,Aditya Birla Capital,25,10,OBEROI REALTY LTD,1.89,
Select Sector Portfolio,Aditya Birla Capital,25,10,ROLEX RINGS LTD,1.88,
Select Sector Portfolio,Aditya Birla Capital,25,10,ZENSAR TECHNOLOGIES LTD,1.86,
Select Sector Portfolio,Aditya Birla Capital,25,10,PNC INFRATECH LIMITED,1.78,1149.0
Select Sector Portfolio,Aditya Birla Capital,25,10,RATNAMANI METALS AND TUBES LTD,1.77,
Select Sector Portfolio,Aditya Birla Capital,25,10,CIPLA LTD,1.75,
Select Sector Portfolio,Aditya Birla Capital,25,10,GATEWAY DISTRIPARKS LIMITED,1.73,490.0
Select Sector Portfolio,Aditya Birla Capital,25,10,COROMANDEL INTERNATIONAL LTD,1.69,
Select Sector Portfolio,Aditya Birla Capital,25,10,JUBILANT FOODWORKS LTD,1.54,
Select Sector Portfolio,Aditya Birla Capital,25,10,DEEPAK FERTILIZERS & PETRO CORP LTD,1.46,
Select Sector Portfolio,Aditya Birla Capital,25,10,PAGE INDUSTRIES LTD,1.12,
Select Sector Portfolio,Aditya Birla Capital,25,10,NAVIN FLUORINE INTERNATIONAL LTD,0.92,
Select Sector Portfolio,Aditya Birla Capital,25,10,IDEAFORGE TECHNOLOGY LTD,0.75,
Select Sector Portfolio,Aditya Birla Capital,25,10,CASH,5.79,
Core Equity Portfolio,Aditya Birla Capital,87,10,SUN PHARMACEUTICALS INDUSTRIES LTD,5.91,
Core Equity Portfolio,Aditya Birla Capital,87,10,INTERGLOBE AVIATION LTD,5.58,
Core Equity Portfolio,Aditya Birla Capital,87,10,TATA MOTORS LTD,5.33,
Core Equity Portfolio,Aditya Birla Capital,87,10,ICICI BANK LTD,5.25,
Core Equity Portfolio,Aditya Birla Capital,87,10,BHARTI AIRTEL LTD,5.02,
Core Equity Portfolio,Aditya Birla Capital,87,10,LARSEN & TOUBRO LTD,4.69,
Core Equity Portfolio,Aditya Birla Capital,87,10,STATE BANK OF INDIA,4.61,1313.0
Core Equity Portfolio,Aditya Birla Capital,87,10,KEI INDUSTRIES LIMITED INR 2,4.42,
Core Equity Portfolio,Aditya Birla Capital,87,10,INFOSYS LTD,3.8,
Core Equity Portfolio,Aditya Birla Capital,87,10,RELIANCE INDUSTRIES LTD,3.79,
Core Equity Portfolio,Aditya Birla Capital,87,10,CONTAINER CORPORATION OF INDIA LTD,3.54,
Core Equity Portfolio,Aditya Birla Capital,87,10,BAJAJ FINSERV LTD,3.49,
Core Equity Portfolio,Aditya Birla Capital,87,10,ULTRATECH CEMENT LTD,3.4,
Core Equity Portfolio,Aditya Birla Capital,87,10,HDFC BANK LTD,3.36,
Core Equity Portfolio,Aditya Birla Capital,87,10,UNITED SPIRITS LTD,3.28,
Core Equity Portfolio,Aditya Birla Capital,87,10,APL APOLLO TUBES LIMITED,3.05,92.0
Core Equity Portfolio,Aditya Birla Capital,87,10,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,2.99,642.0
Core Equity Portfolio,Aditya Birla Capital,87,10,MARUTI SUZUKI INDIA LTD,2.95,
Core Equity Portfolio,Aditya Birla Capital,87,10,LTIMINDTREE LIMITED,2.95,885.0
Core Equity Portfolio,Aditya Birla Capital,87,10,CREDITACCESS GRAMEEN LTD.,2.91,
Core Equity Portfolio,Aditya Birla Capital,87,10,SYNGENE INTERNATIONAL LTD,2.55,
Core Equity Portfolio,Aditya Birla Capital,87,10,CARBORUNDUM UNIVERSAL LTD,1.95,
Core Equity Portfolio,Aditya Birla Capital,87,10,SAMHI HOTELS LTD,1.95,
Core Equity Portfolio,Aditya Birla Capital,87,10,INDIAN OIL CORPORATION LTD,1.7,
Core Equity Portfolio,Aditya Birla Capital,87,10,IFB INDUSTRIES LTD,1.33,
Core Equity Portfolio,Aditya Birla Capital,87,10,BAJAJ ELECTRICALS LTD,1.08,
Core Equity Portfolio,Aditya Birla Capital,87,10,JIO FINANCIAL SERVICES LTD,0.49,
Core Equity Portfolio,Aditya Birla Capital,87,10,BHARTI AIRTEL PARTLY PAID,0.3,
Core Equity Portfolio,Aditya Birla Capital,87,10,CASH,8.33,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,TRENT LTD,6.46,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,ICICI BANK LTD,6.05,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,BHARTI AIRTEL LTD,5.47,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,HDFC BANK LTD,4.87,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,CUMMINS INDIA LTD,4.8,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,POWER GRID CORPORATION OF INDIA LTD,4.47,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,INFOSYS LTD,4.31,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,INTERGLOBE AVIATION LTD,4.2,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,LTIMINDTREE LIMITED,4.11,885.0
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,AXIS BANK LTD,3.9,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,BANK OF BARODA,3.68,182.0
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,BAJAJ FINANCE LTD,3.56,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,RELIANCE INDUSTRIES LTD,3.55,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,ABB INDIA LTD,3.45,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,CONTAINER CORPORATION OF INDIA LTD,3.41,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,SUN PHARMACEUTICALS INDUSTRIES LTD,3.3,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,MARUTI SUZUKI INDIA LTD,3.3,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,ACC LTD,3.12,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,ITC LTD,2.86,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,SBI LIFE INSURANCE COMPANY LIMITED,2.83,1312.0
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,UNITED SPIRITS LTD,2.6,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,NESTLE INDIA LTD,2.58,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,TATA STEEL LTD,2.55,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,DR REDDYS LABORATORIES LTD,2.15,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,2.11,1653.0
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,IIFL FINANCE LTD,2.01,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,DALMIA BHARAT LIMITED,1.39,329.0
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,JIO FINANCIAL SERVICES LTD,0.46,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,BHARTI AIRTEL PARTLY PAID,0.28,
Top 200 Core Equity Portfolio,Aditya Birla Capital,111,10,CASH,2.18,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,BHARAT DYNAMICS LIMITED,6.25,196.0
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,BHARTI AIRTEL LTD,5.27,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,ICICI BANK LTD,4.75,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,TRENT LTD,4.72,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,BANK OF BARODA,4.62,182.0
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,PERSISTENT SYSTEMS LTD,4.49,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,AXIS BANK LTD,4.14,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,TATA CONSULTANCY SERVICES LTD,4.01,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,TATA POWER CO LTD,3.94,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,AIA ENGINEERING LTD,3.55,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,ITC LTD,3.45,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,COAL INDIA LTD,3.31,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,SUN PHARMACEUTICALS INDUSTRIES LTD,3.29,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,SIEMENS LTD,3.13,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,3.02,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,UNITED SPIRITS LTD,2.96,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,POWER GRID CORPORATION OF INDIA LTD,2.72,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,STEEL AUTHORITY OF INDIA LTD,2.65,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,SUNDRAM FASTENERS LTD,2.63,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,TORRENT PHARMACEUTICALS LTD,2.37,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,SBI LIFE INSURANCE COMPANY LIMITED,2.24,1312.0
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,SONA BLW PRECISION FORGINGS LIMITED,2.23,1390.0
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,TATA MOTORS LTD,1.97,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,AMBUJA CEMENTS LTD,1.84,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,SHREE CEMENT LTD,1.59,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,KOTAK MAHINDRA BANK LTD,1.46,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,ATUL LTD,1.43,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,ASIAN PAINTS LTD,1.42,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,LTIMINDTREE LIMITED,1.36,885.0
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,AAVAS FINANCIERS LTD.,1.35,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,PRAJ INDUSTRIES LTD,1.31,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,IIFL FINANCE LTD,1.23,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,AVENUE SUPERMARTS LIMITED,1.13,380.0
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,BHARTI AIRTEL PARTLY PAID,0.26,
India Special Opportunities Portfolio,Aditya Birla Capital,170,10,CASH,3.9,
Innovation Portfolio,Aditya Birla Capital,171,10,ICICI BANK LTD,8.11,
Innovation Portfolio,Aditya Birla Capital,171,10,TRENT LTD,7.95,
Innovation Portfolio,Aditya Birla Capital,171,10,LARSEN & TOUBRO LTD,7.16,
Innovation Portfolio,Aditya Birla Capital,171,10,BHARTI AIRTEL LTD,6.84,
Innovation Portfolio,Aditya Birla Capital,171,10,RELIANCE INDUSTRIES LTD,6.02,
Innovation Portfolio,Aditya Birla Capital,171,10,PERSISTENT SYSTEMS LTD,5.37,
Innovation Portfolio,Aditya Birla Capital,171,10,HDFC BANK LTD,4.85,
Innovation Portfolio,Aditya Birla Capital,171,10,MARUTI SUZUKI INDIA LTD,4.5,
Innovation Portfolio,Aditya Birla Capital,171,10,BAJAJ FINANCE LTD,4.42,
Innovation Portfolio,Aditya Birla Capital,171,10,ION EXCHANGE INDIA LTD,4.4,
Innovation Portfolio,Aditya Birla Capital,171,10,PI INDUSTRIES LTD,4.2,
Innovation Portfolio,Aditya Birla Capital,171,10,ANGEL BROKING LTD.,3.42,
Innovation Portfolio,Aditya Birla Capital,171,10,FIEM INDUSTRIES LIMITED,3.33,458.0
Innovation Portfolio,Aditya Birla Capital,171,10,HONEYWELL AUTOMATION INDIA LTD,3.2,
Innovation Portfolio,Aditya Birla Capital,171,10,VOLTAS LTD,2.62,
Innovation Portfolio,Aditya Birla Capital,171,10,BAYER CROPSCIENCE LTD,2.57,
Innovation Portfolio,Aditya Birla Capital,171,10,CIPLA LTD,2.16,
Innovation Portfolio,Aditya Birla Capital,171,10,HDFC STANDARD LIFE INSURANCE COMPANY LTD,2.13,
Innovation Portfolio,Aditya Birla Capital,171,10,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,2.07,1653.0
Innovation Portfolio,Aditya Birla Capital,171,10,FEDERAL BANK LTD,1.91,
Innovation Portfolio,Aditya Birla Capital,171,10,AFFLE INDIA LTD,1.76,
Innovation Portfolio,Aditya Birla Capital,171,10,HINDUSTAN UNILEVER LTD,1.61,
Innovation Portfolio,Aditya Birla Capital,171,10,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,0.97,1180.0
Innovation Portfolio,Aditya Birla Capital,171,10,JIO FINANCIAL SERVICES LTD,0.77,
Innovation Portfolio,Aditya Birla Capital,171,10,BHARTI AIRTEL PARTLY PAID,0.35,
Innovation Portfolio,Aditya Birla Capital,171,10,CASH,7.31,
India Opportunities Product,Aequitas Investment ,260,112,JINDAL SAW LIMITED,8.1,745.0
India Opportunities Product,Aequitas Investment ,260,112,APAR INDUSTRIES LIMITED,7.43,88.0
India Opportunities Product,Aequitas Investment ,260,112,SANGHVI MOVERS LIMITED,7.2,1294.0
India Opportunities Product,Aequitas Investment ,260,112,TECHNOCRAFT INDUSTRIES INDIA LIMITED,6.84,
India Opportunities Product,Aequitas Investment ,260,112,POWER MECH PROJECTS LIMITED,6.83,1162.0
High Growth,Alchemy Capital Management,41,15,HINDUSTAN AERONAUTICS LTD,9.8,
High Growth,Alchemy Capital Management,41,15,BHARAT ELECTRONICS LTD,6.8,
High Growth,Alchemy Capital Management,41,15,PRESTIGE ESTATES PROJECTS LTD,6.5,
High Growth,Alchemy Capital Management,41,15,SOBHA LTD,6.3,
High Growth,Alchemy Capital Management,41,15,SUZLON ENERGY LTD,5.3,
High Growth Select Stock,Alchemy Capital Management,42,15,DIXON TECHNOLOGIES INDIA LTD,7.7,
High Growth Select Stock,Alchemy Capital Management,42,15,DLF LTD,4.4,
High Growth Select Stock,Alchemy Capital Management,42,15,UNITED SPIRITS LTD,4.3,
High Growth Select Stock,Alchemy Capital Management,42,15,INFO EDGE INDIA LTD,3.9,
High Growth Select Stock,Alchemy Capital Management,42,15,TRENT LTD,3.9,
Ascent,Alchemy Capital Management,191,15,HINDUSTAN AERONAUTICS LTD,11.1,
Ascent,Alchemy Capital Management,191,15,BAJAJ AUTO LTD,6.7,
Ascent,Alchemy Capital Management,191,15,MOTILAL OSWAL FINANCIAL SERVICES LTD,6.0,
Ascent,Alchemy Capital Management,191,15,HOUSING AND URBAN DEVELOPMENT CORPORATION LTD,4.2,
Ascent,Alchemy Capital Management,191,15,COLGATE-PALMOLIVE I LTD,4.1,
Smart Alpha 250,Alchemy Capital Management,366,15,DIXON TECHNOLOGIES INDIA LTD,6.3,
Smart Alpha 250,Alchemy Capital Management,366,15,TRENT LTD,6.0,
Smart Alpha 250,Alchemy Capital Management,366,15,POWER FINANCE CORPORATION LTD,5.9,
Smart Alpha 250,Alchemy Capital Management,366,15,BHARAT HEAVY ELECTRICALS LTD,5.1,
Smart Alpha 250,Alchemy Capital Management,366,15,RAIL VIKAS NIGAM LTD,4.7,
Alpha 100,Alchemy Capital Management,365,15,TRENT LTD,7.3,
Alpha 100,Alchemy Capital Management,365,15,COLGATE-PALMOLIVE I LTD,6.1,
Alpha 100,Alchemy Capital Management,365,15,SHRIRAM FINANCE LTD,5.9,
Alpha 100,Alchemy Capital Management,365,15,TATA POWER CO LTD,5.6,
Alpha 100,Alchemy Capital Management,365,15,LARSEN AND TOUBRO LTD,5.6,
Smart Alpha Small & Micro Cap,Alchemy Capital Management,383,15,COCHIN SHIPYARD LTD,8.9,
Smart Alpha Small & Micro Cap,Alchemy Capital Management,383,15,GE TND INDIA LTD,8.8,
Smart Alpha Small & Micro Cap,Alchemy Capital Management,383,15,TEXMACO RAIL AND ENGINEERING LTD,5.0,
Smart Alpha Small & Micro Cap,Alchemy Capital Management,383,15,TITAGARH RAIL SYSTEMS LTD,4.8,
Smart Alpha Small & Micro Cap,Alchemy Capital Management,383,15,IRCON INTERNATIONAL LTD,4.8,
Alpha Small Cap,Alchemy Capital Management,384,15,KALYAN JEWELLERS INDIA LTD,7.4,
Alpha Small Cap,Alchemy Capital Management,384,15,NBCC INDIA LTD,6.0,
Alpha Small Cap,Alchemy Capital Management,384,15,NIPPON LIFE INDIA ASSET MANAGEMENT LTD,5.8,
Alpha Small Cap,Alchemy Capital Management,384,15,APAR INDUSTRIES LTD,5.5,
Alpha Small Cap,Alchemy Capital Management,384,15,KFIN TECHNOLOGIES LTD,5.4,
IOP PMS,AlfAccurate Advisors,24,9,ICICI BANK LTD.,5.1,
IOP PMS,AlfAccurate Advisors,24,9,HDFC BANK LTD.,4.4,
IOP PMS,AlfAccurate Advisors,24,9,STATE BANK OF INDIA,3.4,1313.0
IOP PMS,AlfAccurate Advisors,24,9,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,3.1,
IOP PMS,AlfAccurate Advisors,24,9,TRENT LTD.,3.1,
AAA Focus Plan,AlfAccurate Advisors,192,9,VESUVIUS INDIA LTD.,6.0,
AAA Focus Plan,AlfAccurate Advisors,192,9,HITACHI ENERGY INDIA LTD.,5.4,
AAA Focus Plan,AlfAccurate Advisors,192,9,ICICI BANK LTD.,5.3,
AAA Focus Plan,AlfAccurate Advisors,192,9,INFOSYS LTD.,4.4,
AAA Focus Plan,AlfAccurate Advisors,192,9,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,4.4,
Budding Beasts,AlfAccurate Advisors,304,9,HITACHI ENERGY INDIA LTD.,4.8,
Budding Beasts,AlfAccurate Advisors,304,9,VESUVIUS INDIA LTD.,3.4,
Budding Beasts,AlfAccurate Advisors,304,9,CG POWER AND INDUSTRIAL SOLUTIONS LTD.,3.0,
Budding Beasts,AlfAccurate Advisors,304,9,STIDES ARCOLABS LTD..,3.0,
Budding Beasts,AlfAccurate Advisors,304,9,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,2.9,
Coffee CAN,Ambit Investment Advisors,30,13,HDFC BANK LTD,8.0,
Coffee CAN,Ambit Investment Advisors,30,13,ICICI BANK,7.0,
Coffee CAN,Ambit Investment Advisors,30,13,BHARTI AIRTEL  LTD.,7.0,
Coffee CAN,Ambit Investment Advisors,30,13,EICHER MOTORS LTD,7.0,
Coffee CAN,Ambit Investment Advisors,30,13,CONTAINER CORPORATION OF INDIA LTD.,6.0,
Coffee CAN,Ambit Investment Advisors,30,13,TATA CONSULTANCY SERVICES LTD,5.0,
Coffee CAN,Ambit Investment Advisors,30,13,AVENUE SUPERMARTS,5.0,
Coffee CAN,Ambit Investment Advisors,30,13,KFIN TECHNOLOGIES LIMITED,5.0,809.0
Coffee CAN,Ambit Investment Advisors,30,13,ZOMATO LIMITED,4.0,1656.0
Coffee CAN,Ambit Investment Advisors,30,13,NESTLE INDIA,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,TITAN INDUSTRIES,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,HDFC LIFE INSURANCE,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,HAVELLS INDIA LIMITED,4.0,580.0
Coffee CAN,Ambit Investment Advisors,30,13,HDFC AMC,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,PIDILITE INDUSTRIES LTD,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,ABBOTT INDIA LTD.,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,CONCORD BIOTECH LIMITED,4.0,308.0
Coffee CAN,Ambit Investment Advisors,30,13,KOTAK MAHINDRA BANK,4.0,
Coffee CAN,Ambit Investment Advisors,30,13,BAJAJ AUTO LIMITED,4.0,162.0
Good and Clean,Ambit Investment Advisors,31,13,AXIS BANK LTD,6.0,
Good and Clean,Ambit Investment Advisors,31,13,P I INDUSTRIES LTD,6.0,
Good and Clean,Ambit Investment Advisors,31,13,DEEPAK NITRITE LTD,6.0,
Good and Clean,Ambit Investment Advisors,31,13,BALKRISHNA INDUSTRIES LTD.,6.0,
Good and Clean,Ambit Investment Advisors,31,13,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,6.0,
Good and Clean,Ambit Investment Advisors,31,13,TRENT LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,FEDERAL BANK LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,KAJARIA CERAMICS LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,TVS MOTOR COMPANY LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,AARTI INDUSTRIES LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,MPHASIS LIMITED,5.0,979.0
Good and Clean,Ambit Investment Advisors,31,13,KEI INDUSTRIES LTD.,5.0,
Good and Clean,Ambit Investment Advisors,31,13,BLUE STAR LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,AJANTA PHARMA LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,CDSL LTD,5.0,
Good and Clean,Ambit Investment Advisors,31,13,PERSISTENT SYSTEMS LTD,4.0,
Good and Clean,Ambit Investment Advisors,31,13,SUPREME INDUSTRIES LTD,4.0,
Good and Clean,Ambit Investment Advisors,31,13,AU SMALL FINANCE BANK LTD,4.0,
Good and Clean,Ambit Investment Advisors,31,13,AEGIS LOGISTICS LTD.,4.0,
Good and Clean,Ambit Investment Advisors,31,13,PAGE INDUSTRIES LTD,3.0,
Emerging Giants,Ambit Investment Advisors,32,13,VENUS PIPES & TUBES LTD,7.0,
Emerging Giants,Ambit Investment Advisors,32,13,HOME FIRST FINANCE,6.0,
Emerging Giants,Ambit Investment Advisors,32,13,CCL PRODUCTS INDIA LTD,6.0,
Emerging Giants,Ambit Investment Advisors,32,13,MASTEK LTD,6.0,
Emerging Giants,Ambit Investment Advisors,32,13,GARWARE TECHNICAL FIBRES LTD,6.0,
Emerging Giants,Ambit Investment Advisors,32,13,RAJRATAN GLOBAL WIRE LTD,6.0,
Emerging Giants,Ambit Investment Advisors,32,13,ORIENT ELECTRIC LTD,6.0,
Emerging Giants,Ambit Investment Advisors,32,13,MAS FINANCIAL SERVICES LTD,5.0,
Emerging Giants,Ambit Investment Advisors,32,13,SAFARI INDUSTRIES (INDIA) LTD,5.0,
Emerging Giants,Ambit Investment Advisors,32,13,CERA SANITARYWARE LTD,5.0,
Emerging Giants,Ambit Investment Advisors,32,13,NEOGEN CHEMICALS,5.0,
Emerging Giants,Ambit Investment Advisors,32,13,EPL LTD,5.0,
Emerging Giants,Ambit Investment Advisors,32,13,MOLD-TEK PACKAGING LTD,5.0,
